year,ege_budg,total_income
2014,62.17,2701835.1
2015,62.78,2152594.5
2016,62.11,2253860.5
2017,65.4,2613649.0
2013,71.57,702911.88
2014,66.7,760804.5
2013,89.87,1569277.384
2014,85.88,1787420.8
2015,86.58,2221611.3
2016,87.05,2145660.4
2017,89.94,2272263.9
2013,65.48,4796403.345
2014,64.51,4089151.6
2015,68.55,5248208.7
2016,70.13,5513408.3
2017,73.54,6535332.6
2013,65.82,1643137.8735
2014,59.54,1932336.6
2015,58.15,1826100.0
2016,59.51,1837447.5
2017,61.89,2112288.6
2013,76.72,674343.46
2014,74.96,829052.9
2015,76.26,805223.9
2016,72.51,825247.7
2017,77.18,864425.1
2013,72.77,2342121.348
2014,71.54,1922917.1
2015,69.97,3125078.5
2016,71.97,4667043.6
2017,77.22,5290911.2
2013,75.26,875387.7900000002
2014,75.62,1221649.2
2013,66.76,1196383.32
2014,56.4,1156436.2
2013,79.96,1702388.815
2014,73.15,2632318.9
2015,74.83,2657070.1
2016,73.52,2929330.2
2017,74.1,3033503.0
2013,86.34,1118651.1840000001
2014,85.48,2042607.0
2015,83.91,1856459.8
2016,85.29,1748038.0
2017,88.52,1562593.8
2013,59.47,271054.125
2014,64.06,266918.7
2015,70.53,317576.3
2016,70.43,290103.1
2017,70.25,371236.4
2013,69.56,3312584.742
2014,64.43,4540535.7
2015,69.82,3681063.7
2016,71.27,3533789.7
2017,72.25,3524982.2
2013,67.67,2642273.664
2014,66.63,2562747.4
2013,92.29,12085399.299999999
2014,80.29,11681669.5
2015,88.72,10883357.9
2016,81.76,10847571.9
2017,83.28,12829506.6
2013,68.06,2803573.4850000003
2014,65.88,1564529.7
2015,65.41,1535071.7
2016,66.88,1482080.3
2017,67.08,1237861.6
2013,82.7,844767.42
2014,77.51,1202145.6
2013,69.54,628159.7655
2014,66.35,765223.3
2015,64.69,782617.0
2016,65.99,636602.9
2017,69.83,814029.7
2013,66.91,990192.32
2014,67.25,969284.9
2015,68.03,1290597.6
2016,67.32,1288618.0
2017,67.92,1525060.1
2013,59.09,838905.252
2014,54.1,1214585.7
2013,73.0,617014.0140000001
2014,74.11,550104.7
2013,69.59,1150056.5999999999
2014,66.58,1078745.0
2016,71.21,637387.5
2017,59.66,665472.0
2013,65.66,1219875.552
2014,68.18,1249603.5
2013,68.96,1143529.506
2014,73.5,1591481.8
2015,71.72,1439550.8
2016,73.47,1314333.4
2017,74.03,1218340.0
2013,73.82,490098.51
2014,69.9,736472.1
2015,71.18,647639.4
